--- Table: orders ---
Field: order_id | Type: int | Null: NO | Default: 
Field: customer_id | Type: int | Null: NO | Default: 
Field: order_date | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP
Field: total_amount | Type: decimal(10,2) | Null: NO | Default: 
Field: status | Type: enum('Pending','Pending Review','For Revision','Pending Approval','To Pay','Processing','In Production','Printing','Ready for Pickup','Completed','Cancelled','Downpayment Submitted','Paid – In Process') | Null: YES | Default: Pending
Field: payment_status | Type: enum('Unpaid','Paid','Refunded') | Null: YES | Default: Unpaid
Field: cancellation_reason | Type: varchar(255) | Null: YES | Default: 
Field: cancellation_details | Type: text | Null: YES | Default: 
Field: payment_method_id | Type: int | Null: YES | Default: 
Field: payment_reference | Type: varchar(100) | Null: YES | Default: 
Field: payment_proof | Type: varchar(255) | Null: YES | Default: 
Field: payment_submitted_at | Type: datetime | Null: YES | Default: 
Field: discount_id | Type: int | Null: YES | Default: 
Field: downpayment_amount | Type: decimal(10,2) | Null: YES | Default: 0.00
Field: cancelled_by | Type: enum('Customer','Staff','Admin') | Null: YES | Default: 
Field: cancel_reason | Type: text | Null: YES | Default: 
Field: cancelled_at | Type: datetime | Null: YES | Default: 
Field: production_started_at | Type: datetime | Null: YES | Default: 
Field: revision_reason | Type: text | Null: YES | Default: 
Field: revision_count | Type: int | Null: YES | Default: 0
Field: updated_at | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP
Field: notes | Type: text | Null: YES | Default: 

--- Table: order_details ---
Error describing table: Table 'printflow.order_details' doesn't exist

--- Table: products ---
Field: product_id | Type: int | Null: NO | Default: 
Field: sku | Type: varchar(50) | Null: YES | Default: 
Field: name | Type: varchar(100) | Null: NO | Default: 
Field: category | Type: varchar(50) | Null: YES | Default: 
Field: description | Type: text | Null: YES | Default: 
Field: price | Type: decimal(10,2) | Null: NO | Default: 
Field: stock_quantity | Type: int | Null: YES | Default: 0
Field: dimensions | Type: varchar(100) | Null: YES | Default: 
Field: material | Type: varchar(50) | Null: YES | Default: 
Field: printing_type | Type: varchar(50) | Null: YES | Default: 
Field: status | Type: enum('Activated','Deactivated') | Null: YES | Default: Activated
Field: created_at | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP
Field: updated_at | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP

--- Table: notifications ---
Field: notification_id | Type: int | Null: NO | Default: 
Field: user_id | Type: int | Null: YES | Default: 
Field: customer_id | Type: int | Null: YES | Default: 
Field: message | Type: text | Null: NO | Default: 
Field: data_id | Type: int | Null: YES | Default: 
Field: type | Type: enum('Order','Stock','System','Message') | Null: YES | Default: System
Field: is_read | Type: tinyint(1) | Null: YES | Default: 0
Field: send_email | Type: tinyint(1) | Null: YES | Default: 1
Field: send_sms | Type: tinyint(1) | Null: YES | Default: 1
Field: created_at | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP

--- Table: customers ---
Field: customer_id | Type: int | Null: NO | Default: 
Field: first_name | Type: varchar(50) | Null: NO | Default: 
Field: middle_name | Type: varchar(50) | Null: YES | Default: 
Field: last_name | Type: varchar(50) | Null: NO | Default: 
Field: dob | Type: date | Null: YES | Default: 
Field: gender | Type: enum('Male','Female','Other') | Null: YES | Default: 
Field: email | Type: varchar(100) | Null: NO | Default: 
Field: contact_number | Type: varchar(20) | Null: YES | Default: 
Field: password_hash | Type: varchar(255) | Null: NO | Default: 
Field: status | Type: enum('Activated','Deactivated') | Null: YES | Default: Activated
Field: created_at | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP
Field: updated_at | Type: timestamp | Null: YES | Default: CURRENT_TIMESTAMP
Field: cancel_count | Type: int | Null: YES | Default: 0
Field: is_restricted | Type: tinyint(1) | Null: YES | Default: 0

